,rmse,mae,r2
XGBoost_target_t1,0.0054944446418602,0.0036118590322523,9.470016431312178e-05
XGBoost_target_t6,0.0131158996626705,0.0089836135650525,-0.0002889778802965
XGBoost_target_t12,0.0184952296543164,0.0130977504827512,-0.0004634269879932
LightGBM_target_t1,0.0054929914956502,0.0036109127126026,0.0006235312105189
LightGBM_target_t6,0.0131156482259148,0.0089831172916929,-0.0002506264120627
LightGBM_target_t12,0.0184953082697318,0.0130979022494244,-0.000471932101639
SARIMA_target_t1,0.0056498561014258,0.0039958795621996,-0.00575473487441
SARIMA_target_t6,0.015588838066512,0.0114626063935496,-0.390775650371358
SARIMA_target_t12,0.0219078779651967,0.0180257901381637,-0.5421827338581093
