,train,test
target_t1,"{'rmse': np.float64(0.006431216944789029), 'mae': 0.004026101803232503, 'r2': 0.13681469773646415}","{'rmse': np.float64(0.005520103419120104), 'mae': 0.0036566645225041684, 'r2': -0.010891755455523233}"
target_t6,"{'rmse': np.float64(0.01385125085730521), 'mae': 0.009205296320829446, 'r2': 0.30124970975524235}","{'rmse': np.float64(0.013680916799888154), 'mae': 0.0095000468169312, 'r2': -0.08822858760419927}"
target_t12,"{'rmse': np.float64(0.017805122757622263), 'mae': 0.012295925630059663, 'r2': 0.42008248986880403}","{'rmse': np.float64(0.020335726780712996), 'mae': 0.014887540871840948, 'r2': -0.20937692648906303}"
