,log_return_1h
count,34855.0
mean,2.544689212413081e-05
std,0.006751171844552918
min,-0.0992860013537755
25%,-0.0024519462987949003
50%,6.231828828046431e-05
75%,0.0025999021318894
max,0.1156888457061626
