,t+1,t+6,t+12
rmse,0.005649856101425884,0.015588838066512012,0.021907877965196765
mae,0.00399587956219968,0.011462606393549677,0.018025790138163734
r2,-0.005754734874410028,-0.390775650371358,-0.5421827338581093
