,train,test
target_t1,"{'rmse': np.float64(0.0066542526690234515), 'mae': 0.004188600630605171, 'r2': 0.07590569889824617}","{'rmse': np.float64(0.005476925581621487), 'mae': 0.0036130690276633985, 'r2': 0.004860635568429306}"
target_t6,"{'rmse': np.float64(0.014515764999131618), 'mae': 0.009555688911925151, 'r2': 0.23259633491677545}","{'rmse': np.float64(0.013330978379238061), 'mae': 0.009244420441001606, 'r2': -0.03326989280278103}"
target_t12,"{'rmse': np.float64(0.018103298022788462), 'mae': 0.012442166041407951, 'r2': 0.4004965598968123}","{'rmse': np.float64(0.01977927990844101), 'mae': 0.014441658619923671, 'r2': -0.14409802215049816}"
