,rmse,mae,r2
target_t1,0.00549444464186023,0.0036118590322523616,9.470016431312178e-05
target_t6,0.013115899662670549,0.00898361356505256,-0.00028897788029658145
target_t12,0.018495229654316415,0.013097750482751207,-0.0004634269879932873
